Feature,Category,Color,Clarity,Perceived Malt Aroma & Flavor,Perceived Hop Aroma & Flavor,Perceived Bitterness,Fermentation Characteristics,Body,Additional notes,Original Gravity (°Plato),Apparent Extract/Final Gravity (°Plato),Alcohol by Weight (Volume),Bitterness (IBU),Color SRM (EBC)
119,American-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,Medium-low to medium,"Medium to high, exhibiting attributes typical of noble-type hops",Medium to medium-high,"DMS, acetaldehyde, fruity esters, and diacetyl should not be present.",Medium-low to medium,"Spontaneously fermented beers with fruit, spice or other ingredients should be categorized as Wild Beers. Within the framework of these guidelines, beers which hew to classic or traditional categories such as Belgian-Style Lambic, Gueuze, Fruit Lambic, etc. should be categorized as such, rather than as Wild Beers. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s) upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect groups of entries based on color, microflora, fruit, spices or other ingredients, wood-aging, etc.",1.045-1.06 (11.2-14.7 °Plato),1.012-1.018 (3.1-4.6 °Plato),3.90%-4.70% (4.90%-6.00%),25-40,3-6(6-12 EBC)
120,Contemporary American-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,Medium-low to medium,"Medium to high. While traditional versions exhibit attributes typical of noble-type hops, contemporary versions will exhibit attributes typical of a wide range of hop varieties.",Medium to medium-high,"DMS, acetaldehyde, fruity esters, and diacetyl should not be present.",Medium-low to medium,"Any style of beer can be smoked. The goal is to reach a balance between the style’s character and the smoky properties. Any smoke beer that does not fit other smoke beer categories are appropriately categorized here. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s), or other information unique to the entry such as type of wood smoke or processing which influence perceived sensory outcomes.",1.045-1.053 (11.2-13 °Plato),1.01-1.018 (2.5-4.6 °Plato),3.90%-4.70% (4.90%-6.00%),25-50,3-6(6-12 EBC)
121,American-Style India Pale Lager,Straw to gold,Hop haze is allowable. Chill haze should not be present,"Very low to medium, and may exhibit bready, cracker-like, or other attributes typical of pale malts",Medium to high with attributes typical of hops of any origin,"Medium to high, but not harsh","Fruity esters range from absent to medium-low. DMS, acetaldehyde, and diacetyl should not be present.",low to medium,"When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style(s) being made to higher alcoholic strength, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes such as microflora, fruit, spices, or other ingredients, etc.",1.05-1.065 (12.4-15.9 °Plato),1.006-1.016 (1.5-4.1 °Plato),4.40%-6.30% (5.60%-7.90%),30-70,2.5-6(5-12 EBC)
122,American-Style Malt Liquor,Straw to gold,Appearance should be clear. Chill haze should not be present,Some malt sweetness is present,Not present,Very low,"Fruity esters and complex alcohol aromas and ﬂavors are acceptable at low levels. Alcohol should not be solvent-like. DMS, diacetyl, and acetaldehyde should not be present.",Low to medium-low,"This category includes lagers, ales or other beers made from fermentable sugars, grains and converted carbohydrates and must also include some portion of cereal. All ingredients must be free of gluten. Within the framework of these guidelines, beers brewed with barley, wheat, spelt, rye, and other gluten-containing ingredients may not be categorized as Gluten-Free. Gluten-Free Beers may contain malted grains that are gluten-free. NOTE: These guidelines do not supersede any government regulations. Wine, mead, ﬂavored malt beverages or beverages other than ‘beer’ as deﬁned by the TTB (U.S. Trade and Tax Bureau) are not considered ‘gluten-free beer’ under these guidelines. Gluten-reduced beers’ original ingredients would have gluten content that has been reduced by enzymes or other processes to reduced levels. Gluten-reduced beers should be categorized in the classic style category most appropriate for the beer, rather than as Gluten-Free Beer. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include an underlying beer style if appropriate, gluten-free grains or other carbohydrate sources, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes such as microflora, fruit, spices, other ingredients, wood-aging, etc.",1.05-1.06 (12.4-14.7 °Plato),1.004-1.01 (1-2.6 °Plato),5.00%-6.00% (6.30%-7.60%),12-23,2-6(4-12 EBC)
123,American-Style Amber Lager,Gold to copper,Appearance should be clear. Chill haze should not be present,Low to medium-low caramel or toasted malt aromas and ﬂavors should be present,Very low to medium-high,Very low to medium-high,Fruity esters and diacetyl should not be present,Medium,"For purposes of competition, brewers will be asked to verify that the alcohol content of entries in this category are <0.5% abv. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries, such as the underlying classic beer style.",1.042-1.056 (10.5-13.8 °Plato),1.01-1.018 (2.6-4.6 °Plato),3.80%-4.30% (4.80%-5.40%),18-30,6-14(12-28 EBC)
124,American-Style Maerzen/Oktoberfest,Pale to reddish brown,Chill haze should not be present,"Sweet maltiness should be present, expressed as a light toasted character. Bready or biscuity malt aroma and ﬂavor is acceptable. Low level caramel attributes are acceptable.","Low to medium-low exhibiting herbal, grass-like, spicy, floral, or citrus attributes",Medium-low to medium,Fruity esters and diacetyl should not be present,Medium,"Beers in this category build on a strong dark beer base and incorporate culinary ingredients to create rich, sweet flavor profiles mimicking the character of desserts, pastries or candies. Examples of culinary ingredients used in these beers include, but are not limited to, chocolate, coffee, coconut, vanilla, maple syrup, peanut butter and marshmallow as well as fruits, nuts and spices. The addition of sugars from any source may contribute to the pronounced sweetness of these beers. While this category may overlap several other styles defined in these guidelines such as Chocolate or Cocoa Beers, Coffee Beers, Field beers, and others, the combination of a dark beer base, elevated alcohol content and rich, sweet, dessert-like flavor profiles sets this style apart as a unique entity.",1.05-1.06 (12.4-14.7 °Plato),1.012-1.02 (3.1-5.1 °Plato),4.00%-4.70% (5.10%-6.00%),20-30,4-15(8-30 EBC)
125,American-Style Dark Lager,Light brown to very dark,Appearance should be clear. Chill haze should not be present,Low malt aroma and ﬂavor may include low levels of caramel,Very low to low,Very low to low and dissipates quickly.,"Carbonation is high. Fruity esters, DMS and diacetyl should not be present.",low,,1.04-1.05 (10-12.4 °Plato),1.008-1.012 (2.1-3.1 °Plato),3.20%-4.40% (4.10%-5.60%),14-24,14-25(28-50 EBC)
126,"Australasian, Latin American or Tropical-Style Light Lager",Straw to gold,Chill haze should not be present,Malt sweetness is absent,Not present to very low,Very low,"Sugar adjuncts are often used to lighten the body and ﬂavor, sometimes contributing to very low to low fruity esters such as apple or pear. DMS, diacetyl, and acetaldehyde should not be present.",Low,,1.038-1.046 (9.5-11.4 °Plato),1.006-1.01 (1.5-2.6 °Plato),3.20%-4.00% (4.10%-5.10%),9-18,2-5(4-10 EBC)
127,International-Style Pilsener,Straw to gold,Appearance should be clear. Chill haze should not be present,Residual malt aroma and ﬂavor may be present at low to medium-low levels,Low to medium,Low to medium,"Very low levels of DMS aroma and ﬂavor are acceptable. Fruity esters, acetaldehyde, and diacetyl should not be present.",Low to medium,,1.04-1.052 (10-12.9 °Plato),1.008-1.014 (2.1-3.6 °Plato),3.60%-4.20% (4.60%-5.30%),17-40,3-6(6-12 EBC)
128,Baltic-Style Porter,Black,"Opaque. When clarity is perceivable, chill haze should not be present.","Malt sweetness is medium-low to medium-high. Distinctive malt aromas and flavors of caramelized sugars, dark sugars, and licorice are present. Roast malt attributes may be present at low levels, but any bitterness or astringency should be in harmony with other flavor aspects.",Very low. Floral hop aroma can complement aromatics.,Low to medium-low,"Due to its alcoholic strength, there may be very low to low levels of complex alcohol aromas and ﬂavors, and higher levels of fruitiness suggestive of berries, grapes, or plums, but not banana. Fruity esters, DMS, and diacetyl should not be present.",Medium to full,,1.072-1.092 (17.5-22 °Plato),1.016-1.022 (4.1-5.6 °Plato),6.00%-7.40% (7.60%-9.30%),35-40,20+(40+ EBC)
129,Session Beer,The color should mimic the classic style upon which the beer is based,Appearance may vary from brilliant to hazy to cloudy and should mimic the classic style upon which the beer is based,"Malt attributes should mimic the classic style upon which the beer is based, but at lower overall intensity due to lower original gravity.","Hop attributes should mimic the classic style upon which the beer is based, but at lower overall intensity in order to maintain the balance typical of that style.","Should mimic the classic style upon which the beer is based, but at lower overall intensity in order to maintain the balance typical of that style.",Varies with underlying style,Varies with underlying style,,1.008-1.04 (2.1-10 °Plato),1.004-1.01 (1-2.6 °Plato),0.40%-4.00% (0.50%-5.00%),10-35,2+(4+ EBC)
130,American-Style Cream Ale,Straw to gold,Chill haze should be very low or not be present,The dominant flavor is of pale malt sweetness at medium-low to medium levels. Caramel malt attributes should be absent. Attributes typical of corn or other adjuncts may be present at low levels.,Hop aroma and ﬂavor is very low to low or may be absent,Very low to low,Low level fruity esters may be present. Sulfur and DMS are usually absent but may be present at extremely low levels. Diacetyl should not be present.,Low,,1.044-1.052 (11-12.9 °Plato),1.004-1.01 (1-2.6 °Plato),3.40%-4.50% (4.30%-5.70%),10-22,2-5(4-10 EBC)
131,California Common Beer,Light amber to medium amber,Appearance should be clear. Chill haze should not be present,Medium level toasted or caramel malt attributes are present.,Low to medium-low,Medium to medium-high,Fruity esters are low to medium-low. Diacetyl should be absent.,Medium,,1.045-1.056 (11.2-13.8 °Plato),1.01-1.018 (2.6-4.6 °Plato),3.60%-4.50% (4.60%-5.70%),35-45,8-15(16-30 EBC)
132,Kentucky Common Beer,Medium to deep amber,Chill haze or yeast haze is acceptable,"Medium-low to medium. Sweet malt is the dominant flavor attribute. Any of corn, caramel, toffee, or bready attributes may be present.",Low to medium. May exhibit floral or spicy attributes typical of early 20th century North American hop varieties.,Low to medium,"Low to medium-low fruity esters may be present. Very low levels of DMS, if present, are acceptable. Diacetyl should not be present.",Medium-low to medium with a dry finish enhanced by high carbonation,,1.04-1.055 (10-13.6 °Plato),1.01-1.018 (2.6-4.6 °Plato),3.20%-4.40% (4.00%-5.50%),15-30,11-20(22-40 EBC)
133,American-Style Wheat Beer,Straw to dark brown,Clear to cloudy,"Low to medium-low level pale malt attributes are present in paler versions. Medium-low to medium-high malt attributes such as cocoa, chocolate, caramel, toffee, or biscuit may be present in darker versions. Roast malt astringency is acceptable in darker versions when balanced with malt sweetness.",Low to high,Low to medium,"low to medium fruity esters are present. Diacetyl and phenolic, clove-like attributes should not be present",Very low to medium,,1.036-1.056 (9-13.8 °Plato),1.004-1.016 (1-4.1 °Plato),2.80%-4.40% (3.50%-5.60%),10-35,2-10(4-20 EBC)
134,American-Style Fruit Beer,Can range from pale to very dark depending on the underlying style and is often influenced by the color of added fruit,Clear or hazy is acceptable,Not present to medium-low,Not present to medium-low,In balance with fruit character and usually at very low to medium levels,"American-Style Fruit Beers are fermented with traditional German, British or American ale or lager yeast. Beers fermented with Belgian-style, German-style Hefeweizen or other South German wheat beer or Berliner-style Weisse yeasts should be categorized elsewhere. Fruit beers exhibiting sourness should be categorized elsewhere. Attributes typical of wild fermentation should not be present.",Varies with style,,1.03-1.11 (7.6-25.9 °Plato),1.006-1.03 (1.5-7.6 °Plato),2.00%-9.50% (2.50%-12.00%),5-70,5-50 or color of fruit(10-100 or color of fruit EBC)
135,Fruit Wheat Beer,Generally straw to light amber and often influenced by the color of added fruit.,"Chill haze is acceptable. These beers may be served with or without yeast. When served with yeast, appearance is hazy to very cloudy.",Low to medium-low,Low to medium,Low to medium,"These beers can be fermented with either ale or lager yeast depending on the underlying wheat beer style. Low fruity esters are typical. Diacetyl should not be present. In versions served with yeast, yeasty aroma and ﬂavor should be low to medium.",Low to medium,,1.03-1.11 (7.6-25.9 °Plato),1.006-1.03 (1.5-7.6 °Plato),2.00%-9.50% (2.50%-12.00%),10-35,"2-10, or color of fruit(4-20, or color of fruit EBC)"
136,Belgian-Style Fruit Beer,"Can range from pale to dark depending on underlying Belgian style, and is often influenced by the color of added fruit",Clear to hazy beer is acceptable,Can vary from not perceived to medium-high,Low to high,Varies with underlying Belgian style,"Acidic bacterial fermentation attributes may be absent or may be present; if present, such attributes contribute to acidity and enhance fruity balance.",Varies with style,,1.03-1.11 (7.6-25.9 °Plato),1.006-1.03 (1.5-7.6 °Plato),2.00%-9.50% (2.50%-12.00%),5-70,5-50(10-100 EBC)
137,Field Beer,"Can range from pale to very dark depending on the underlying style and is often influenced by the color of added field ingredients (vegetables, nuts, etc.)",Clear to hazy is acceptable,Very low to medium-high,Very low to medium-high,Very low to medium-high. Vegetable character should not be muted by hop character.,Varies with underlying style,Varies with underlying style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style(Varies with style EBC)
138,Pumpkin Spice Beer,Can vary from pale to very dark depending on the underlying style,Clear to hazy is acceptable,Can vary from low to medium-high depending on the underlying style,"None to medium and, if present, in harmony with spice, pumpkin or squash, and other attributes.",Low to medium-low,Typical of underlying beer style,Varies with underlying style,,1.03-1.11 (7.6-25.9 °Plato),1.006-1.03 (1.5-7.6 °Plato),2.00%-9.50% (2.50%-12.00%),5-35,5-50(10-100 EBC)
139,Pumpkin/Squash Beer,Can range from pale to very dark depending on the underlying style,Clear to hazy is acceptable,Can vary from low to medium-high depending on the underlying style,None to medium,Low to medium-low,Typical of underlying beer style,Varies with underlying style,,1.03-1.11 (7.6-25.9 °Plato),1.006-1.03 (1.5-7.6 °Plato),2.00%-9.50% (2.50%-12.00%),5-35,5-50(10-100 EBC)
140,Coffee Beer,Pale to black depending on the underlying style,Clear to hazy is acceptable,Varies with underlying style to provide balance with coffee ﬂavor and aroma,Low to high depending on the underlying style,Varies with underlying style,Typical of underlying style,Reﬂective of the underlying beer style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
141,Chili Pepper Beer,Can range from pale to very dark depending on the underlying style,Can range from clear to hazy depending on the underlying beer style,Can vary from very low to medium-high depending on the underlying style,Very low to very high,Very low to medium-high,"Chili pepper aroma and ﬂavor attributes should be harmonious with the underlying beer style. Chili pepper character may be expressed as vegetal, spicy, or hot on the palate.",Representative of underlying style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style(Varies with style EBC)
142,Herb and Spice Beer,Varies depending on underlying style,Clear to hazy is acceptable,"Varies depending on intention of brewer, underlying beer style, and intensity of herb or spice aroma attributes",Not essential but may be present and may be more assertive than herb-spice character,Very low to medium-low. Reduced hop bitterness tends to accentuate herb/spice character.,Aromas and ﬂavors of individual spices may not always be identiﬁable,Varies with underlying style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style(Varies with style EBC)
143,Specialty Beer,,,,,,,,,0,0,0,0,0
144,Specialty Honey Beer,Very light to black depending on underlying style,Clear to hazy is acceptable,Varies depending on intention of brewer,Very low to very high,Very low to very high,Honey Beers may be brewed to a traditional style or may be experimental. Honey Beers incorporate honey as a fermentable sugar in addition to malted barley. Honey character should be present in aroma and ﬂavor but should not be overpowering. Beers which represent various India Pale Ale and Imperial India Pale Ale styles brewed with honey are categorized as Experimental India Pale Ale.,Varies with underlying style,,1.03-1.11 (7.6-25.9 °Plato),1.006-1.03 (1.5-7.6 °Plato),2.00%-9.50% (2.50%-12.00%),1-100,1-100(2-200 EBC)
145,Rye Beer,"A wide range of color is acceptable. Lighter versions are straw to copper, while darker versions are dark amber to dark brown.","Chill haze is acceptable in versions packaged and served without yeast. In versions served with yeast, appearance may range from hazy to very cloudy.","In darker versions, malt aromas and ﬂavors can optionally include low roasted malt character expressed as cocoa/chocolate or caramel. Aromatic toffee, caramel, or biscuit character may also be present. Low level roastiness, graininess, or tannin astringency is acceptable when balanced with low to medium malt sweetness.",Low to medium-high,Low to medium,Low levels of spicy and fruity ester aromas are typical. Yeast-derived aroma and flavor attributes such as clove-like or other phenolics may be present when consistent with underlying beer style. These beers can be fermented with either ale or lager yeast. Diacetyl should not be present. Low to medium yeast aroma may be present in versions packaged with yeast.,Low to medium. Rye can impart textural qualities ranging from dry and crisp to smooth and velvety.,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
146,Brett Beer,Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients.,Chill or yeast haze is allowable at low to medium levels at any temperature,"In darker versions, any of roasted malt, caramel or chocolate aromas and ﬂavors are present at low levels.",Low to high,Low to high,"Medium to high fruity esters are present. Acidity resulting from Brettanomyces fermentation results in a complex flavor profile. Brettanomyces character should be present at low to high levels, expressed as any of horsey, goaty, leathery, phenolic, fruity, or acidic aroma and flavor attributes. Brettanomyces character may or may not be dominant. Acidity from Brettanomyces should be low to medium-low. Cultured yeast strains may be used in the fermentation. Beers fermented with Brettanomyces that do not exhibit attributes typical of Brettanomyces fermentation are categorized elsewhere. Beers in this style should not incorporate bacteria or exhibit a bacteria-derived flavor profile. Diacetyl and DMS should not be present.",Low to high,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
147,Mixed-Culture Brett Beer,Any color is acceptable. Beer color may be influenced by the color of added fruits or other ingredients.,"Chill haze, bacteria and yeast-induced haze is allowable at low to medium levels at any temperature.","In darker versions, any of roasted malt, caramel, or chocolate aromas and ﬂavors are present at low levels.",Low to high,Low to high,"Medium to high fruity esters are present. Acidity resulting from fermentation with Brettanomyces or bacteria results in a complex flavor profile. Brettanomyces character should be present and expressed as any of horsey, goaty, leathery, phenolic, fruity, or acidic aroma and flavor attributes. Cultured yeast may be used in the fermentation. Bacteria should be incorporated and in evidence. Bacteria will contribute acidity which may or may not dominate the flavor profile. Diacetyl and DMS should not be present.",Low to high,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
148,Ginjo Beer or Sake-Yeast Beer,Pale to dark brown,Slight chill haze is acceptable,Very low to medium,Low to medium and in harmony with sake-like character,Low to medium and in harmony with sake-like character,These beers are brewed with sake yeast or sake (koji) enzymes. The unique byproducts of sake yeast and koji enzymes should be distinctive and in harmony with other elements. Sake character may best be described as having mild fruitiness and mild earthiness expressed as mushroom or umami protein-like attributes. A high amount of alcohol may be evident.,Varies depending on original gravity. Mouthfeel also varies.,,1.04-1.09 (10-21.6 °Plato),1.008-1.02 (2.1-5 °Plato),3.40%-8.20% (4.30%-10.20%),12-35,4-20(8-40 EBC)
149,Fresh Hop Beer,Straw to gold,Chill haze or hop haze is acceptable at low levels,Low to medium-low. Caramel or roasted malt character should not be present,"High to very high, exhibiting a wide range of attributes including floral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous and many others.","Medium-high to very high, but not harsh","Fruity esters range from low to medium. DMS, acetaldehyde, and diacetyl should not be present. These beers are characterized by a high degree of attenuation.",Low to medium,,1.055-1.07 (13.5-17.1 °Plato),1.005-1.016 (1.5-4.1 °Plato),5-6 (6.3-7.5),50-75,2-6(4-12 EBC)
150,Wood- and Barrel-Aged Sour Beer,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Typical of underlying style of sour beer being aged,Varies with underlying style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
151,Aged Beer,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,"Aged Beers are any beers aged for over one year. A brewer may brew any type of beer of any strength and enhance its character with various aging conditions for an extended time. In general, beers with high hopping rates, roast malt, high alcohol content, and complex herbal, smoke or fruit character are the best candidates for aging. Aged Beers may be aged in bottles, cans, kegs or other non-wooden vessels. Aged character may be expressed in mouthfeel, aroma, and ﬂavor. Often, aged character is the result of oxidative reactions that either bring individual flavor components into harmony or are unique flavors unto themselves. Sherry-like and fruity flavors often develop during aging, and hop character often changes. No matter what the effect, the overall character should be balanced and without aggressive flavors. The level of change created by aging will vary with the duration of aging and the underlying beer style. Mildly-ﬂavored beers are more likely to develop aggressive and unpleasant oxidation. Positive transformations are more likely to occur in beers with higher levels of hops, malt, or alcohol.",Varies with underlying style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
152,Experimental Beer,May vary widely with ingredients used,Varies with ingredients used and brewing process,May vary widely with ingredients used and brewing process,May vary widely with ingredients used and brewing process,May vary widely with ingredients used and brewing process,Will vary widely depending on the nature of the techniques and or ingredients used to create the beer,May vary widely with ingredients used and brewing process,,Varies widely,Varies widely,Varies widely,Varies widely,Varies widely
153,Experimental India Pale Ale,"Straw to very dark, varying widely with ingredients used","May range from clear to very high degree of cloudiness. Starch, yeast, hop, protein, and other compounds can contribute to a wide range of hazy appearance within this category","Very low to medium-low malt aroma and flavor may be present, and may exhibit attributes typical of various adjuncts and specialty malts","Medium to very high hop aroma and flavor are present, with attributes typical of hops from any origin",Low to very high,"Fruity esters are low to high and may contribute to an overall highly fruity impression regardless of the presence or absence of fruit(s) used and can contribute to the perception of sweetness and be complementary to the hop profile. Yeast choices can vary widely as can sensory outcomes; very low to low phenolic or other attributes typical of wine, champagne or Brettanomyces yeast strains may be present but are not required. Carbonation can range from average to high, with higher levels often associated with a crisp mouthfeel. Diacetyl and DMS should not be present.","Very low to medium, depending on grist and yeast choice, enzymatic treatment, finishing adjunct(s) and other fermentation parameters. Mouthfeel can vary widely from light to full and from dry to silky.",,1.06-1.1 (14.7-23.7 °Plato),0.994-1.02 (-1.6-5.1 °Plato),5.00%-8.40% (6.30%-10.60%),30-100,3-40(6-80 EBC)
154,Historical Beer,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
155,Wild Beer,Any color is acceptable. Versions made with fruits or other flavorings may take on corresponding hues.,"Clear or hazy due to yeast, chill haze or hop haze.","Generally, these beers are highly attenuated resulting in very low to low malt character. Maltier versions should display good overall balance with other flavor components.",Very low to high,Very low to low,"Aromas may vary significantly due to fermentation attributes contributed by various known and unknown microorganisms. The overall balance should be complex and balanced. Wild beers are spontaneously fermented with microorganisms that the brewer has introduced from the ambient air/environment near the brewery in which the beer is brewed. Wild Beers may not be fermented with any cultured strains of yeast or bacteria. Wild Beers may or may not be perceived as acidic. They may include a highly-variable spectrum of ﬂavors and aromas derived from the wild microorganisms with which they are fermented. The overall balance of ﬂavors, aromas, appearance and body are important factors in assessing these beers.",Very low to medium,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
156,Smoke Beer,"Any beer of any style incorporating smoke, and therefore may range from very light to black",Varies with underlying beer style,Varies with underlying beer style,Varies with underlying beer style,Varies with underlying beer style,"For Smoke Beers based on lager styles, any phenolic notes (if present) should be derived from smoke; in such lagers yeast-derived phenolics should not be present.",Varies with underlying beer style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
157,Other Strong Ale or Lager,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,"Within the framework of these guidelines, beers of any style intentionally brewed to a higher alcohol content than defined within that style’s guidelines are categorized as Other Strong Beer. These beers should achieve a balance between the style’s characteristics and the additional alcohol, and are not wood- or barrel-aged. All Wood- and Barrel-Aged Beers that meet the criteria for elevated alcohol content shown below are categorized as any of several Wood- and Barrel-Aged Beers.",Varies with underlying style,,Varies with style,Varies with style,6.4%+ (8%+,Varies with style,Varies with style
158,Gluten-Free Beer,Varies with underlying style,Varies with underlying style,Varies with underlying style. Grains and fermentables which differ from those typically used to produce a given beer style can and will produce flavor and aroma outcomes that differ from traditional versions. Such differences are to be expected and are acceptable.,Varies with underlying style,Varies with underlying style,"Although brewers may design and identify these beers according to defined style guidelines, these beers should be evaluated on their own merits without strict adherence to defined style parameters.",Varies with underlying style,,Varies with style,Varies with style,Varies with style,Varies with style,Varies with style
159,Non-Alcohol Malt Beverage,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,Varies with underlying style,"Non-alcohol (N/A) malt beverages can emulate the character of any beer style defined within these guidelines but with no or nearly no alcohol (less than 0.5 percent abv). Ethyl acetate should not be present. Due to their nature, non-alcohol malt beverages will have a proﬁle lacking the complexity and balance of ﬂavors that beers containing alcohol will display. N/A beers should be assessed with this is mind, and should not be given negative evaluations for reasons related to the absence of alcohol.",Varies with underlying style,,Varies with style,Varies with style,<0.4% abw (<0.5% abv,Varies with style,Varies with style
160,Dessert Stout or Pastry Stout,Very dark to black,Opaque,"Extremely rich malty aroma and ﬂavor is typical. Coffee, caramel, roasted malt, or chocolate aromas and flavors may be evident.","If present, very low",Not present to low,"High alcohol content is evident. Fruity esters may be present at low levels. Diacetyl, if present, should be at low levels.",Full,,1.08-1.120+ (19.3-28+ °Plato),1.02-1.060+ (5.1-15+ °Plato),5.50%-10.25%+ (7%-13%+),20-65,35+(70+ EBC)
