Feature,value
Clarity,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category."
Perceived Malt Aroma & Flavor,Low to medium-low malt aroma and flavor may be present
Perceived Hop Aroma & Flavor,"Medium-high to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others."
Perceived Bitterness,Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.
Fermentation Characteristics,Medium-low to medium-high fruity esters are present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.
Body,Medium-low to medium-high. Perceived silky or full mouthfeel may contribute to overall flavor profile.
Additional notes,"Grist may include oats, wheat, or other adjuncts to promote haziness. The term ‘juicy’ is frequently used to describe taste and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Likewise the term ‘hazy’ is frequently used to describe the appearance of many examples of these beers. However, some versions may exhibit very low cloudiness."
Original Gravity (°Plato),1.044-1.05 (11-12.4 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.014 (2.1-3.6 °Plato)
Alcohol by Weight (Volume),3.50%-4.30% (4.40%-5.40%)
Bitterness (IBU),5-30; may differ significantly from perceived bitterness
Color SRM (EBC),3-7(6-14 EBC)
Category,American-Style Strong Pale Ale
Color,Pale to copper
Clarity,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.
Perceived Malt Aroma & Flavor,Low caramel malt aroma is allowable. Low level maltiness may include low caramel malt character.
Perceived Hop Aroma & Flavor,"High to very high, exhibiting a wide range of attributes including ﬂoral, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, piney, resinous, and many others."
Perceived Bitterness,High
Fermentation Characteristics,Fruity esters may be low to high. Diacetyl should not be present.
Body,Medium
Original Gravity (°Plato),1.05-1.058 (12.4-14.2 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.6-2.7 °Plato)
Alcohol by Weight (Volume),4.40%-5.05% (5.60%-6.40%)
Bitterness (IBU),40-50
Color SRM (EBC),3-8(6-16 EBC)
Category,Juicy or Hazy Strong Pale Ale
Color,Straw to light amber
Clarity,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category."
Perceived Malt Aroma & Flavor,Low to medium-low malt aroma and flavor may be present
Perceived Hop Aroma & Flavor,"Medium-high to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others."
Perceived Bitterness,Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.
Fermentation Characteristics,Medium-low to medium-high fruity esters may be present and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present.
Body,Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.
Additional notes,"Grist may include oats, wheat, or other adjuncts to promote haziness. Lactose may be used to enhance body and balance. Lactose should not lend to, or overwhelm, the flavor character of these beers. The term ‘juicy’ is frequently used to describe taste and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Likewise the term ‘hazy’ is frequently used to describe the appearance of many examples of these beers. However, some versions may exhibit very low cloudiness. These beers can exhibit astringency and heat (sometimes referred to as ‘hop burn’) as a result of very high hop usage rates and excessive contact time in beer, which can detract from balance and drinkability when present above low levels."
Original Gravity (°Plato),1.05-1.058 (12.4-14.2 °Plato)
Apparent Extract/Final Gravity (°Plato),1.006-1.01 (1.6-2.7 °Plato)
Alcohol by Weight (Volume),4.40%-5.05% (5.60%-6.40%)
Bitterness (IBU),15-40; may differ significantly from perceived bitterness
Color SRM (EBC),3-8(6-16 EBC)
Category,American-Style India Pale Ale
Color,Pale to copper
Clarity,Chill haze is acceptable at low temperatures. Hop haze is allowable at any temperature.
Perceived Malt Aroma & Flavor,Medium-low to medium intensity malt attributes are present in aroma and ﬂavor
Perceived Hop Aroma & Flavor,"High to very high, exhibiting a wide range of attributes including ﬂoral, piney, citrus, fruity (berry, tropical, stone fruit and other), sulfur, diesel-like, onion-garlic, catty, resinous, and many others."
Perceived Bitterness,Medium-high to very high
Fermentation Characteristics,Fruity esters are low to high. Diacetyl and DMS should not be present.
Body,Medium-low to medium
Additional notes,"The use of water with high mineral content may result in a crisp, dry beer rather than a malt-accentuated version. Sugar adjuncts may be used to enhance body and balance. Hops of varied origins may be used for bitterness or for approximating traditional American character. Versions of this style brewed with non-traditional yeasts, fruits, spices, or other flavorings are categorized as Experimental India Pale Ales. Versions of this style brewed with darker malts, may be categorized as Experimental India Pale Ales, or possibly as American-Style Black Ale. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect the use of different types of hops or malts, and associated sensory outcomes."
Original Gravity (°Plato),1.06-1.07 (14.7-17.1 °Plato)
Apparent Extract/Final Gravity (°Plato),1.01-1.016 (2.5-4.1 °Plato)
Alcohol by Weight (Volume),5.00%-6.00% (6.30%-7.50%)
Bitterness (IBU),50-70
Color SRM (EBC),4-12(8-24 EBC)
Category,Juicy or Hazy India Pale Ale
Color,Straw to light amber
Clarity,"Can vary widely from very low haze to very high degree of cloudiness. Starch, yeast, hop, protein or other compounds contribute to a wide range of hazy appearance within this category."
Perceived Malt Aroma & Flavor,Low to medium-low malt aroma and flavor may be present
Perceived Hop Aroma & Flavor,"High to very high hop aroma and flavor are present, exhibiting a very wide range of attributes, especially fruity, tropical, juicy, and many others."
Perceived Bitterness,Low to medium. The impression of bitterness is soft and well-integrated into overall balance and may differ significantly from measured or calculated IBU levels.
Fermentation Characteristics,"Medium to medium-high fruity esters are present, and can contribute to the perception of sweetness and be complementary to the hop profile. Diacetyl should not be present."
Body,Medium-low to medium-high. A silky or full mouthfeel may contribute to overall flavor profile.
Additional notes,"Grist may include oats, wheat, or other adjuncts to promote haziness. Lactose may be used to enhance body and balance. Lactose should not lend to, or overwhelm, the flavor character of these beers. The term ‘juicy’ is frequently used to describe flavor and aroma attributes often present in these beers which result from late, often very large, additions of hops. A juicy character is not required, however. Other hop-derived attributes such as citrus, pine, spice, floral or others may be present with or without the presence of juicy attributes. Likewise the term ‘hazy’ is frequently used to describe the appearance of many examples of these beers. However, some versions may exhibit very low cloudiness. These beers can exhibit astringency and heat (sometimes referred to as ‘hop burn’) as a result of very high hop usage rates and excessive contact time in beer, which can detract from balance and drinkability when present above low levels. Versions of this style brewed with non-traditional yeasts, fruits, spices, or other flavorings are categorized as Experimental India Pale Ales. Versions of this style brewed with darker malts may be categorized as Experimental India Pale Ales, or possibly as American-Style Black Ale. When using these guidelines as the basis for evaluating entries at competitions, competition organizers may choose to create subcategories which reflect the use of colored malts and associated hue and aroma and flavor attributes, or based on types of hops used."
Original Gravity (°Plato),1.06-1.07 (14.7-17.1 °Plato)
Apparent Extract/Final Gravity (°Plato),1.008-1.02 (2-5 °Plato)
Alcohol by Weight (Volume),5.00%-6.00% (6.30%-7.50%)
Bitterness (IBU),20-50; may differ significantly from perceived bitterness
Color SRM (EBC),3-7(6-14 EBC)
Category,American-Belgo-Style Ale
Color,Gold to black
Clarity,Should conform the base beer style
Perceived Malt Aroma & Flavor,Typically low. Perception of specialty or roasted malts or barley can be very low to robust in darker versions.
Perceived Hop Aroma & Flavor,"Medium to very high, exhibiting American-type hop aromas not usually found in traditional Belgian styles."
Perceived Bitterness,"Medium to high, in alignment with base beer style."
Fermentation Characteristics,"Fruity esters are medium to high. Belgian yeast attributes such as banana, berry, apple, coriander, spice or smoky-phenolic should be in balance with malt and hops. Diacetyl, sulfur, and attributes typical of Brettanomyces should not be present."
Body,"Medium-low to medium, in alignment with base beer style."
Additional notes,"American-Belgo-Style Ales are either 1) non-Belgian beer types portraying the unique characters imparted by yeasts typically used in big, fruity Belgian-style ales, or 2) deﬁned Belgian-style beers displaying the hallmark attributes typical of American variety hops. These beers are unique unto themselves. When using these guidelines as the basis for evaluating entries at competitions, brewers may be asked to provide supplemental information about entries in this category to allow for accurate evaluation of diverse entries. Such information might include the underlying beer style upon which the entry is based, or other information unique to the entry such as ingredients or processing which influence perceived sensory outcomes. Competition organizers may create subcategories which reflect groups of entries based on color, hop varieties, or underlying beer styles."
Original Gravity (°Plato),Varies with style
Apparent Extract/Final Gravity (°Plato),Varies with style
Alcohol by Weight (Volume),Varies with style
Bitterness (IBU),Varies with style
Color SRM (EBC),Varies with style(Varies with style EBC)
Category,American-Style Brown Ale
Color,Deep copper to very dark brown
Clarity,Chill haze is acceptable at low temperatures
Perceived Malt Aroma & Flavor,"Medium levels of roasted malt, caramel, and chocolate aromas and flavors should be present."
Perceived Hop Aroma & Flavor,Medium-low to medium-high
Perceived Bitterness,Medium to high
Fermentation Characteristics,Low to medium-low fruity esters may be present. Diacetyl should not be present.
